source_song_id,target_song_id,rank
SOECVEZ12A6D4F6F06,SOJWQFM12A58A7C6AD,5
SOECVEZ12A6D4F6F06,SOPLNMX12A58A7C2D7,6
SOECVEZ12A6D4F6F06,SOHFWWC12A58A7BC71,7
SOECVEZ12A6D4F6F06,SOMKDSD12A6310E911,8
SOECVEZ12A6D4F6F06,SOOTKBQ12AC3DFA4A2,9
SOZKNSB12A8C140F11,SOQZRUD12AB018B54D,1
SOZKNSB12A8C140F11,SOUVBAM12A81C217FF,2
SOZKNSB12A8C140F11,SOUBUOK12A67AD8E64,3
SOZKNSB12A8C140F11,SONJWPH12A8C13ED46,4
SOZKNSB12A8C140F11,SOJQAGG12A58A7A8FE,5
SOZKNSB12A8C140F11,SOPKBNZ12A8C1312A6,6
SOZKNSB12A8C140F11,SOIJOXQ12A6D4F8BCA,7
SOZKNSB12A8C140F11,SOPUNHU12A8C137CA7,8
SOZKNSB12A8C140F11,SOUAAHI12A8AE4850E,9
SONOMEC12A8C14541F,SOYRJEV12A8C13BD89,1
SONOMEC12A8C14541F,SOUMODD12A8C144F5B,2
SONOMEC12A8C14541F,SOONBBA12A8A9D56F2,3
SONOMEC12A8C14541F,SOGMNNN12A6D4FAAF8,4
SONOMEC12A8C14541F,SOCYCOC12A8151E156,5
SONOMEC12A8C14541F,SOANAAN12A6D4F69B2,6
SONOMEC12A8C14541F,SOYUVJK12A8C1342D2,7
SONOMEC12A8C14541F,SORSPYU12A6310DBF1,8
SONOMEC12A8C14541F,SOAMUEN12AB01833AD,9
SOBBKGF12A8C1311EE,SORVETV12A8C141FC7,1
SOBBKGF12A8C1311EE,SOBCOWD12A6701FD78,2
SOBBKGF12A8C1311EE,SOQFXDQ12AF72AD0EE,3
SOBBKGF12A8C1311EE,SOTMKZF12AB0187412,4
SOBBKGF12A8C1311EE,SOCQOZB12AB0185685,5
SOBBKGF12A8C1311EE,SOTMTBT12A58A7D50E,6
SOBBKGF12A8C1311EE,SOOSDMO12A6D4F80F9,7
SOBBKGF12A8C1311EE,SOTSJDX12AF72A9AFD,8
SOBBKGF12A8C1311EE,SOMIHYA12AB018DD37,9
SOBBKGF12A8C1311EE,SOVWHPM12AB017DABB,10
SOASTSF12A8C1420B5,SOAOSNL12A6BD550D5,1
SOASTSF12A8C1420B5,SOLJRWU12A8C13EE4F,2
SOASTSF12A8C1420B5,SORAGVB12AB018212B,3
SOASTSF12A8C1420B5,SODYTBZ12A8C144EEB,4
SOASTSF12A8C1420B5,SOHSNVM12A6D4F7793,5
SOASTSF12A8C1420B5,SOZTBUH12A8C13E005,6
SOASTSF12A8C1420B5,SOWVOYF12A8C13A248,7
SOASTSF12A8C1420B5,SONLIHK12A8C140751,8
SOASTSF12A8C1420B5,SOXTUQB12AB018A49D,9
SOMCMKG12A8C1347BF,SOSCAIF12A6D4F45C1,1
SOMCMKG12A8C1347BF,SOGVTZX12A6D4F45BE,2
SOMCMKG12A8C1347BF,SODPCRM12AB0185C59,3
SOMCMKG12A8C1347BF,SOHWCWC12A6D4F45B8,4
SOMCMKG12A8C1347BF,SOPTZWP12A8C139B79,5
SOMCMKG12A8C1347BF,SOFDOXJ12A670208F2,6
SOMCMKG12A8C1347BF,SOBIWOZ12AB017F68C,7
SOMCMKG12A8C1347BF,SOMLVLH12AC3DF9CCD,8
SOMCMKG12A8C1347BF,SOHSFHH12A8C131EC2,9
SOEKSGJ12A67AE227E,SOAYLWW12AB017AEA8,1
SOEKSGJ12A67AE227E,SONFDFT12B0B809543,2
SOEKSGJ12A67AE227E,SOYVYNW12AF729D48D,3
SOEKSGJ12A67AE227E,SOQOAGD12AB01809FB,4
SOEKSGJ12A67AE227E,SODGMKP12A8C145D59,5
SOEKSGJ12A67AE227E,SOSHOZU12A8C13FACA,6
SOEKSGJ12A67AE227E,SOAJSBY12A8C134FC7,7
SOEKSGJ12A67AE227E,SOTYXGB12A8C13C55C,8
SOEKSGJ12A67AE227E,SOHHBCH12AB017DC80,9
SOPQLBY12A6310E992,SOGYCXA12AB018AFC1,1
SOPQLBY12A6310E992,SOFZMMI12AB017F33C,2
SOPQLBY12A6310E992,SOJYBIF12AB0183EDB,3
SOPQLBY12A6310E992,SOFHVID12A6D4F5B75,4
SOPQLBY12A6310E992,SOSCJDO12A8C13387F,5
SOPQLBY12A6310E992,SOZYEUQ12AB0184FAB,6
SOPQLBY12A6310E992,SODRFJI12A6D4FAA05,7
SOPQLBY12A6310E992,SOCNFEZ12AB0186FF8,8
SOPQLBY12A6310E992,SODUJHV12A58A7CCAC,9
SOPQLBY12A6310E992,SOVNOIH12AB017E3BC,10
SODXRTY12AB0180F3B,SOXZIPJ12A6D4F98D2,1
SODXRTY12AB0180F3B,SOGUXXP12AB017FD58,2
SODXRTY12AB0180F3B,SOTDFFF12A58A7EED0,3
SODXRTY12AB0180F3B,SOBWJVA12AB0186B0C,4
SODXRTY12AB0180F3B,SOFROGM12A8C136F19,5
SODXRTY12AB0180F3B,SOKATZM12AB017BDB9,6
SODXRTY12AB0180F3B,SOTSGEX12AF72A9A2E,7
SODXRTY12AB0180F3B,SOOVOWN12A8AE46AA6,8
SODXRTY12AB0180F3B,SOUGCDK12AC95F075F,9
SOFHFDD12AC46880BF,SONWGDQ12AF72A635F,1
SOFHFDD12AC46880BF,SOYWQAT12A8C132C25,2
SOFHFDD12AC46880BF,SONHDFE12A58A802B8,3
SOFHFDD12AC46880BF,SOOKJMZ12AAF3B24F3,4
SOFHFDD12AC46880BF,SOBLFKK12AF72A0A8D,5
SOFHFDD12AC46880BF,SOESSAO12A6701E0F7,6
SOFHFDD12AC46880BF,SOUXZPD12AB017D77A,7
SOFHFDD12AC46880BF,SOFVUHW12A8C133115,8
SOFHFDD12AC46880BF,SOXNYLJ12A8C13E1B0,9
SOZCZTN12AF729E7EC,SOQQUHM12A8C145FEF,1
SOZCZTN12AF729E7EC,SOLOFUJ12AB018938E,2
SOZCZTN12AF729E7EC,SOKCORM12AB01897F7,3
SOZCZTN12AF729E7EC,SOZINST12A8C138432,4
SOZCZTN12AF729E7EC,SOXRJXO12B0B807DDD,5
SOZCZTN12AF729E7EC,SOCBMXC12AB01853E6,6
SOZCZTN12AF729E7EC,SOSHSTD12A8C136AD0,7
SOZCZTN12AF729E7EC,SORTPGI12AF72ABD59,8
SOZCZTN12AF729E7EC,SODXQBE12A6701C80C,9
SOZCZTN12AF729E7EC,SOBRFQS12AB01848B9,10
SOYOIMF12A8C135BF4,SOIYBUD12A67020418,1
SOYOIMF12A8C135BF4,SOBCNSF12A8AE46A12,2
SOYOIMF12A8C135BF4,SOVGHRB12AF72A0073,3
SOYOIMF12A8C135BF4,SOSKWIE12A670203D6,4
SOYOIMF12A8C135BF4,SOYKLAH12AB0183AA0,5
SOYOIMF12A8C135BF4,SOBBQOO12A6D4F5ED1,6
SOYOIMF12A8C135BF4,SOVTBYA12A6D4F6540,7
SOYOIMF12A8C135BF4,SOBQXRB12AB01834D2,8
SOYOIMF12A8C135BF4,SOEGRAF12A8C13DF5C,9
SOMTXSB12AF72ACC38,SOKPNDQ12CF5F8918A,1
SOMTXSB12AF72ACC38,SOMFCNP12B0B80CB0B,2
SOMTXSB12AF72ACC38,SOWPWJZ12A8C1399DD,3
SOMTXSB12AF72ACC38,SOVWAZE12D0219001B,4
SOMTXSB12AF72ACC38,SOJYGHN12A8C13758C,5
SOMTXSB12AF72ACC38,SOJBMKJ12A6D223C23,6
SOMTXSB12AF72ACC38,SOIKTOD12A8C13C876,7
SOMTXSB12AF72ACC38,SOFBHVT12A8C139048,8
SOMTXSB12AF72ACC38,SOBGZOF12A8C143C2E,9
SOMTXSB12AF72ACC38,SOAUKOP12A8C13F944,10
SOGETYZ12A81C233DD,SOXUKKA12A6D4F970C,1
SOGETYZ12A81C233DD,SOKVPCR12AB017D810,2
SOGETYZ12A81C233DD,SOBOSJI12A8C1407B5,3
SOGETYZ12A81C233DD,SOQLQQA12A8C132DB4,4
SOGETYZ12A81C233DD,SOKVAOH12A8C1378C0,5
SOGETYZ12A81C233DD,SOABWFH12A8C13753E,6
SOGETYZ12A81C233DD,SOQQITZ12A8C133825,7
SOGETYZ12A81C233DD,SOURZUP12AAF3B477F,8
SOGETYZ12A81C233DD,SORFILI12A6D4FD7BA,9
SOGETYZ12A81C233DD,SOJJEIT12AB017E2A7,10
SOJARVY12AF72ACF03,SODMAJL12A8C141117,1
SOJARVY12AF72ACF03,SONQPZX12AB0184521,2
SOJARVY12AF72ACF03,SOIOAIN12A58A7A9A5,3
SOJARVY12AF72ACF03,SOBLXAK12AC3DF6131,4
SOJARVY12AF72ACF03,SOKWIYX12A8C13CD0B,5
SOJARVY12AF72ACF03,SOKWHDH12AB018301B,6
SOJARVY12AF72ACF03,SOXMCPM12A8AE46B68,7
SOJARVY12AF72ACF03,SOFBOXR12A6310F0FC,8
SOJARVY12AF72ACF03,SOXFMSM12A6D4F759F,9
SOPOFBW12AB0187196,SOFYSDB12A8C131AF6,1
SOPOFBW12AB0187196,SOKWOON12A6D4F9EF2,2
SOPOFBW12AB0187196,SOZQKSV12AF729F22B,3
SOPOFBW12AB0187196,SOCKHYC12AB0180B92,4
SOPOFBW12AB0187196,SOEEVIF12AB017D02C,5
SOPOFBW12AB0187196,SODVWOS12AC3DFB448,6
SOPOFBW12AB0187196,SOWLRED12A8C13B44D,7
SOPOFBW12AB0187196,SOJHKGH12A58A804C8,8
SOPOFBW12AB0187196,SOZBCEA12AB0184086,9
SONEQDB12A67AD819F,SOHWFSX12AB0182124,1
SONEQDB12A67AD819F,SOUEHWG12A8C13321A,2
SONEQDB12A67AD819F,SOSXPFU12AB017FE27,3
SONEQDB12A67AD819F,SOFXPJJ12AB0187354,4
SONEQDB12A67AD819F,SOAJXFK12AB018680F,5
SONEQDB12A67AD819F,SOGICTW12AF72AA5C7,6
SONEQDB12A67AD819F,SOEJQOM12A8C13D882,7
SONEQDB12A67AD819F,SOSGIVA12A58A7DA64,8
SONEQDB12A67AD819F,SOWZJLW12A8C13EB2A,9
SOQCIXL12A6D4F87E0,SOYZJCQ12A67ADD888,1
SOQCIXL12A6D4F87E0,SODJVXV12AB0183BB0,2
SOQCIXL12A6D4F87E0,SOFXYAC12A8C141367,3
SOQCIXL12A6D4F87E0,SOBJHRF12A58A7D3CF,4
SOQCIXL12A6D4F87E0,SORTIGU12A6D4F73FC,5
SOQCIXL12A6D4F87E0,SODYXNR12A6D227294,6
SOQCIXL12A6D4F87E0,SOSYQCM12A8C1447EE,7
SOQCIXL12A6D4F87E0,SOIPZSO12AB018D9FA,8
SOQCIXL12A6D4F87E0,SOXYLHY12A6D4F89BC,9
SOYQQAC12A6D4FD59E,SOJQTZJ12AB0182922,1
SOYQQAC12A6D4FD59E,SOKWSDI12AB0181AC0,2
SOYQQAC12A6D4FD59E,SOQLAUY12A6D4F900A,3
SOYQQAC12A6D4FD59E,SOQCESZ12A6D4F7D65,4
SOYQQAC12A6D4FD59E,SOJUIBO12AB017CF83,5
SOYQQAC12A6D4FD59E,SOMFVHS12A6D4FA01E,6
SOYQQAC12A6D4FD59E,SOZGAHN12A679AE5AA,7
SOYQQAC12A6D4FD59E,SODOSMG12A6310DF08,8
SOYQQAC12A6D4FD59E,SOHOKHQ12A8C138605,9
SOYQQAC12A6D4FD59E,SOKEIEF12A8C13F763,10
SOJQDYQ12AF72A30E5,SOALHLO12A58A7D974,1
SOJQDYQ12AF72A30E5,SOASMWH12A6701D968,2
SOJQDYQ12AF72A30E5,SOAPAIB12AB018222C,3
SOJQDYQ12AF72A30E5,SOWTGUU12A67ADAF40,4
SOJQDYQ12AF72A30E5,SOEKVEA12A6D4FA514,5
SOJQDYQ12AF72A30E5,SOKBEGN12A8C142678,6
SOJQDYQ12AF72A30E5,SONOTCL12A6D4FB2D6,7
SOJQDYQ12AF72A30E5,SOUNXOF12A8C138522,8
SOJQDYQ12AF72A30E5,SOCLJRQ12A8C138AFE,9
SOGHGWJ12A8C1451BA,SOYYFJW12AF72A8F34,1
SOGHGWJ12A8C1451BA,SOPVZCI12A8C1393AC,2
SOGHGWJ12A8C1451BA,SOTZRDH12AF729FE24,3
SOGHGWJ12A8C1451BA,SOFJJZD12A8C13C7E5,4
SOGHGWJ12A8C1451BA,SOYRJTL12A67AD9551,5
SOGHGWJ12A8C1451BA,SOMYKJS12A8C137069,6
SOGHGWJ12A8C1451BA,SOPQUZL12A8C13E6B8,7
SOGHGWJ12A8C1451BA,SOLOTDF12A58A7D11D,8
SOGHGWJ12A8C1451BA,SOMJWLY12AAFF434EA,9
SOZWSPY12AB01850A7,SOHKQYF12AF72A5769,1
SOZWSPY12AB01850A7,SORRKED12A6D4F8844,2
SOZWSPY12AB01850A7,SOUULCY12A6701EED4,3
SOZWSPY12AB01850A7,SONWZHR12AB018AEE7,4
SOZWSPY12AB01850A7,SODDEPL12A8C1362CC,5
SOZWSPY12AB01850A7,SOTMMSE12A8C1410FF,6
SOZWSPY12AB01850A7,SOQVPML12A6D4FBC6A,7
SOZWSPY12AB01850A7,SOIOITI12AB018AEED,8
SOZWSPY12AB01850A7,SOFBDAL12A670207B9,9
SOOIMRP12AB018609D,SOIOPYA12AF72A68AD,1
SOOIMRP12AB018609D,SODDMOJ12A58A7C242,2
SOOIMRP12AB018609D,SOQYGGK12AF72A50EE,3
SOOIMRP12AB018609D,SORIOAI12AB01830E7,4
SOOIMRP12AB018609D,SOBBGFH12AB0184CE7,5
SOOIMRP12AB018609D,SOMHCJM12A8C134E0B,6
SOOIMRP12AB018609D,SOKHCUA12AB0181504,7
SOOIMRP12AB018609D,SOJUNSB12AF72A3543,8
SOOIMRP12AB018609D,SOAUVPB12A8C13A36E,9
SOMWASN12A6D4F72B3,SOOFKYO12AF72A2640,1
SOMWASN12A6D4F72B3,SOYODVE12A58A799FE,2
SOMWASN12A6D4F72B3,SOWEAGE12A8AE44E5F,3
SOMWASN12A6D4F72B3,SOYVYEP12A8C13F6AB,4
SOMWASN12A6D4F72B3,SOKPNTC12AF72A8184,5
SOMWASN12A6D4F72B3,SOYMIYP12A8C1339E8,6
SOMWASN12A6D4F72B3,SOHKPND12A8C13F60B,7
SOMWASN12A6D4F72B3,SOUTLVM12AB0183346,8
SOMWASN12A6D4F72B3,SOPROAP12A8C13207B,9
SOBWYBI12A58A78AEC,SOIPNWS12A6701E5B9,1
SOBWYBI12A58A78AEC,SOVTSQT12AB018431B,2
SOBWYBI12A58A78AEC,SOAEJSE12A8C1419F1,3
SOBWYBI12A58A78AEC,SOOXHLJ12AB0185AEC,4
SOBWYBI12A58A78AEC,SOPGBAN12A6D4F77D2,5
SOBWYBI12A58A78AEC,SOQGYRO12A8C1312A7,6
SOBWYBI12A58A78AEC,SONCTJL12A8C13D4E6,7
SOBWYBI12A58A78AEC,SOQJXKY12AC3DF57D1,8
SOBWYBI12A58A78AEC,SORXILP12A8C13324D,9
SOMGXHN12A58A7929F,SOCHQJN12AC468834A,1
SOMGXHN12A58A7929F,SOLYMCK12AB018ABC8,2
SOMGXHN12A58A7929F,SOVCMVZ12AB0182A94,3
SOMGXHN12A58A7929F,SOXVEWO12AB01871C8,4
SOMGXHN12A58A7929F,SONBGEK12A8C13A3E1,5
SOMGXHN12A58A7929F,SOGBANU12A6D4F8E24,6
SOMGXHN12A58A7929F,SOYZNBP12A6D4FA00E,7
SOMGXHN12A58A7929F,SOQSSHX12AB017C4BF,8
SOMGXHN12A58A7929F,SOWXNTS12A58A7EBD6,9
SONSZVP12AF729F13C,SOGYCXA12AB018AFC1,1
SONSZVP12AF729F13C,SOFZMMI12AB017F33C,2
SONSZVP12AF729F13C,SOJYBIF12AB0183EDB,3
SONSZVP12AF729F13C,SOFHVID12A6D4F5B75,4
SONSZVP12AF729F13C,SOSCJDO12A8C13387F,5
SONSZVP12AF729F13C,SOZYEUQ12AB0184FAB,6
SONSZVP12AF729F13C,SODRFJI12A6D4FAA05,7
SONSZVP12AF729F13C,SOCNFEZ12AB0186FF8,8
SONSZVP12AF729F13C,SODUJHV12A58A7CCAC,9
SONSZVP12AF729F13C,SOVNOIH12AB017E3BC,10
SOQTAYJ12A8C141FCD,SORSCRN12A8C1401A2,1
SOQTAYJ12A8C141FCD,SOQFTUI12A81C200B0,2
SOQTAYJ12A8C141FCD,SOGLKZT12A6D4FA279,3
SOQTAYJ12A8C141FCD,SOESDHA12A6D4F9DD8,4
SOQTAYJ12A8C141FCD,SOYSZAO12AB018CDFE,5
SOQTAYJ12A8C141FCD,SOZWQFI12AF729F9D4,6
SOQTAYJ12A8C141FCD,SOYKPKJ12AB017EA15,7
SOQTAYJ12A8C141FCD,SOMVCFL12A8C1354BF,8
SOQTAYJ12A8C141FCD,SOCLNBL12A8C13F440,9
SOWASXJ12A6701E2D3,SOKOAOS12AB017FAA1,1
SOWASXJ12A6701E2D3,SOPMUDP12A8C133597,2
SOWASXJ12A6701E2D3,SOQKNKE12AC3DF6756,3
SOWASXJ12A6701E2D3,SOCGUOV12AB018C53B,4
SOWASXJ12A6701E2D3,SOMZRWW12A6D4FB461,5
SOWASXJ12A6701E2D3,SOFPQZR12A6D4F8928,6
SOWASXJ12A6701E2D3,SOKPBPX12AF72A7445,7
SOWASXJ12A6701E2D3,SOJXFAI12A58A7980A,8
SOWASXJ12A6701E2D3,SOTWCZD12A6D4FA7AB,9
SOIPYPB12A8C1360D4,SOKVKNS12AF72A34A8,1
SOIPYPB12A8C1360D4,SOPLBFF12AB0185BBA,2
SOIPYPB12A8C1360D4,SOSCDWE12AB01823C4,3
SOIPYPB12A8C1360D4,SOLWEEI12AC4689649,4
SOIPYPB12A8C1360D4,SOWYUFF12AB0185E62,5
SOIPYPB12A8C1360D4,SOSOUKN12A8C13AB79,6
SOIPYPB12A8C1360D4,SOEBOWM12AB017F279,7
SOIPYPB12A8C1360D4,SODAOII12AF729D951,8
SOIPYPB12A8C1360D4,SOLLVFE12A6D4F9793,9
SONIQRE12AF72A2B02,SORVETV12A8C141FC7,1
SONIQRE12AF72A2B02,SOBCOWD12A6701FD78,2
SONIQRE12AF72A2B02,SOQFXDQ12AF72AD0EE,3
SONIQRE12AF72A2B02,SOTMKZF12AB0187412,4
SONIQRE12AF72A2B02,SOCQOZB12AB0185685,5
SONIQRE12AF72A2B02,SOTMTBT12A58A7D50E,6
SONIQRE12AF72A2B02,SOOSDMO12A6D4F80F9,7
SONIQRE12AF72A2B02,SOTSJDX12AF72A9AFD,8
SONIQRE12AF72A2B02,SOMIHYA12AB018DD37,9
SONIQRE12AF72A2B02,SOVWHPM12AB017DABB,10
SOVXBOT12A8C136816,SORVETV12A8C141FC7,1
SOVXBOT12A8C136816,SOBCOWD12A6701FD78,2
SOVXBOT12A8C136816,SOQFXDQ12AF72AD0EE,3
SOVXBOT12A8C136816,SOTMKZF12AB0187412,4
SOVXBOT12A8C136816,SOCQOZB12AB0185685,5
SOVXBOT12A8C136816,SOTMTBT12A58A7D50E,6
SOVXBOT12A8C136816,SOOSDMO12A6D4F80F9,7
SOVXBOT12A8C136816,SOTSJDX12AF72A9AFD,8
SOVXBOT12A8C136816,SOMIHYA12AB018DD37,9
SOVXBOT12A8C136816,SOVWHPM12AB017DABB,10
SOBONKR12A58A7A7E0,SONWNZR12A8C1379C8,1
SOBONKR12A58A7A7E0,SORNJQD12A67ADCF20,2
SOBONKR12A58A7A7E0,SOANFNR12A8C132C4C,3
SOBONKR12A58A7A7E0,SOAAXFF12AB017DA80,4
SOBONKR12A58A7A7E0,SOZTUAT12A6D4F9A36,5
SOBONKR12A58A7A7E0,SOIRZAO12A58A7F340,6
SOBONKR12A58A7A7E0,SOWQIHF12A6D4F80AA,7
SOBONKR12A58A7A7E0,SOJPAAE12A6D4FC5BF,8
SOBONKR12A58A7A7E0,SOJKKOD12A6D4F4E3E,9
SOISNSU12AC468C0D8,SOJBQZE12AB0185413,1
SOISNSU12AC468C0D8,SORVERI12A8AE46203,2
SOISNSU12AC468C0D8,SORIXXA12A8C143C9E,3
SOISNSU12AC468C0D8,SOEDXFM12A8C1459E9,4
SOISNSU12AC468C0D8,SOWCTOD12A8AE46C2F,5
SOISNSU12AC468C0D8,SOUCMRR12AB017FD82,6
SOISNSU12AC468C0D8,SOBEVOP12A8AE4988E,7
SOISNSU12AC468C0D8,SOXFSVU12A8C13C6F2,8
SOISNSU12AC468C0D8,SOJVCAY12A8C142CEC,9
SOOUCOH12AC468D3EB,SOPJVWK12A58A7D602,1
SOOUCOH12AC468D3EB,SOXGGMR12AB017F843,2
SOOUCOH12AC468D3EB,SODFPLU12A58A7C80F,3
SOOUCOH12AC468D3EB,SOKZGTH12A6D4F9DA3,4
SOOUCOH12AC468D3EB,SOFLPEY12A6D4FD775,5
SOOUCOH12AC468D3EB,SOSANIC12A6701CC20,6
SOOUCOH12AC468D3EB,SOEITPB12A8C133BA8,7
